Title,Composer,Details,Duration,Year,Ensemble (e.g. `string quartet`),"Instruments (Cello, violin, flugelhorn...)","Difficulty (Ameb Grade, HSC, Moderate...)",Preview pages,Preview page titles,"Dissonance (mild, medium, hot)",Video URL,Video Description,"Tags (happy, sad, meditative, ironic)",Mini Image
Concerto Grosso for Piano and 'Cello,Elden Loomes,"A Concerto Grosso for Piano and 'Cello in two movements, with Wind and String Quintets, Percussion and Harp accompaniment.",7min,2020,Chamber Orchestra,"Violin, Cello, Piano, Squirrel","Professional, University","/CG/CG1.jpg, /CG/CG2.jpg","score page 1, score page 2",hot,https://www.youtube.com/embed/oR2uUXdD4jQ,This is a video description,"Schnittke, avant garde, atonal",
Our side of the river,Benjamin Loomes,"`Our side of the river` a chamber opera in two acts by Murray Dahm and Benjamin Loomes.<br><br>Libretto by Murray Dahm and Benjamin Loomes.<br>Music by Benjamin Loomes. For Soprano, Mezzo soprano, Tenor, and Baritone with chamber orchestra.",2hr,2016,Chamber Opera,"Flute, Cello, Piano, Percussion, Soprano, Tenor, Mezzo-soprano, Baritone","Professional, University",,,medium,"https://www.youtube.com/embed/YQ3dIGJo66g, https://www.youtube.com/embed/MLIt9sXcH4M",,"murder, football, featured",/OSotR/mini_image.jpg
Symphony in B - of Love and War - No. 3,Elden Loomes,"A more contemplative symphony, but not without moments of great passion.<br><br>Symphony in B was performed in 2021 by the Sydney Youth Orchestra Philharmonic under the baton of Maestro Brian Buggy.",34min,2020,Symphony Orchestra,Orchestra,"Professional, University",,,medium,"https://www.youtube.com/embed/B4mgkaOaqik, https://www.youtube.com/embed/Jq4WGcwo6u8",Synthesised with Native Instruments,featured,/oLaW/oLaW Album Cover faded.jpg
Amnesia in rag,Elden Loomes,A challenging work for piano: a dubious ragtime not quite recollected properly!,4min 30 sec,2020,Piano solo,Piano,"Professional, University",/amnesia/firstpage.jpg,Page 1,medium,https://www.youtube.com/embed/jp_YPAze5tQ,,"solo, HSC, HSCPerformance",
Scherzo,Elden Loomes,"A short scherzo for symphony orchestra and piano. The strength of the modern orchestra is in the creation of colour. Focused ensemble performance allows players from across the choirs of the orchestra to be combined in both traditional and novel ensembles, their tones, both pure and subverted create unique timbral and textural effects. Juxtaposed, these colours grab and maintain the interest of the listener, leading them ever onwards in the ever-light-hearted continuing joke&mdash;the <em>Scherzo</em>. ",3min,2019,Symphony Orchestra,Orchestra,"Grade 8, University","/Scherzo/Scherzo 1.jpg, /Scherzo/Scherzo 2.jpg, /Scherzo/Scherzo 3.jpg","Cover, Instrumentation, First Page",mild,https://www.youtube.com/embed/yc0gv19xk0g,,"Sydney Youth Orchestra, SYO, syo",
Piano Trio No. 2 - Le Petit Prince,Elden Loomes,"Elden's 2nd piano trio, on Antoine de Saint-Exup&eacute;ry's `Le Petit Prince`. This work is an emotional journey through fragments of this classic tale, at times light-hearted and at others sincere. The harmony lives in a place of sweet modality, with folk elements giving way to a raw core in the 4th movement.<br><br>Trivia: the website banner is an image of the manuscript!",20min,2020,Piano Trio,"Violin, Cello & Piano",senior high school level,"/LPP/titlepage.jpg, /LPP/firstpage.jpg, /LPP/3rdmovpage.jpg","Title page, Page 1 of movement I of score, Page 3 of movement I of score",mild,https://www.youtube.com/embed/Kmo0Nd30hZI,,"sweet, death, folk, modal, chamber, featured",/LPP/mimg-right.jpg
In Memoriam Auream,Elden Loomes,"`In Memoriam Auream` was Elden's HSC core composition&mdash;a dense study of the avant-garde. <br><br>In this work, players represent an alien sonic landscape of the avant-garde, estranged from any musical comprehension and dominated by a distorted piano, contrasted with a slow nostalgic waltz that can do naught but fade into the past while we, the audience, are left with the uncomfortable presence of what this art has become.`<br><br>The density of writing makes this work ideal for HSC Music 2 musicology. You download a score <a href=./scores/In_Memoriam_Auream-by_Elden_Loomes.pdf` download>here</a>. If you're using this, please let me know by emailing <em>elden@loomesmusic.com</em>!",2min,2019,"Cello, Piano & Assistant","Cello, Piano",HSC,"/auream/firstpage.jpg, /auream/secondpage.jpg, /auream/thirdpage.jpg","Page 1, Page 2, Page 3",hot,https://www.youtube.com/embed/KiOVQcofOfc,,atonal,
Vie - Quatuor rythmique,Elden Loomes,"<em>Vie: Quatuor rythmique</em>, 'Life: a rhythmic quartet' depicts the various bold colours of the composer's life and music through the dense interactions and reactions of the chamber tradition.",3min,2019,String Quartet,"Violin, Viola, Cello","Professional, University","/Vie/Vie 1.jpg, /Vie/Vie 2.jpg, /Vie/Vie 3.jpg, /Vie/Vie 4.jpg","Cover, Opening, Waltz, Fugue",hot,https://www.youtube.com/embed/7fVMmmICX1w,Synthesised with Native Instruments,Chamber,/Vie/blurred-lights-faded.jpg
Scintillate,Elden Loomes,"Ok, well you can't really <em>play</em> this one, but you can listen to it! Composed for <a href=`https://syrinscape.com/`>Syrinscape</a>'s  music for the Call of Cthulhu campaign <em>Mask of Nyarlathotep</em>. Composited from a number of synths, a viola, a cello, this version of this piece was suitably ruined passing through a pair of headphones back into a mic' on the way to your ears.",7min,2019,Electronic,"Electronics, Viola, Cello",NA,,,hot,https://www.youtube.com/embed/BNPYfEl8fNs,,,
Three Splintered Keys,Elden Loomes,"A trio of short pieces for piano.<br><br>I - Rebellion from Fugue<br>A (very) short fugue for piano, written in Schoenberg's 12-tone serialist method.<br><br>II - Childish Nightmare<br>A play on Fr&egrave;re Jacques in a  whole tone mode. Probably doesn't stand up to Mahler's setting though...<br><br>III - Parisian Peak Hour<br>Have you seen the traffic around the Arche de Triomphe? It's mad!",7min,2016,Piano,Piano,,,,hot,https://www.youtube.com/embed/idMbD8LeYlQ,,"Serial, Fugue",
